Adduct,Charge,Delta_to_main_species
M-2H,-2,"{""H"": 0, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 0, ""Cl"": 0}"
M-2H+NaHCO2,-2,"{""H"": 1, ""C"": 1, ""O"": 2, ""N"": 0, ""Na"": 1, ""Cl"": 0}"
M-2H+NH4HCO2,-2,"{""H"": 5, ""C"": 1, ""O"": 2, ""N"": 1, ""Na"": 0, ""Cl"": 0}"
M-2H+NaCl,-2,"{""H"": 0, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 1, ""Cl"": 1}"
M+HCO2,-1,"{""H"": 0, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 0, ""Cl"": 0}"
M+HCO2+NaHCO2,-1,"{""H"": 1, ""C"": 1, ""O"": 2, ""N"": 0, ""Na"": 1, ""Cl"": 0}"
M+HCO2+NH4HCO2,-1,"{""H"": 5, ""C"": 1, ""O"": 2, ""N"": 1, ""Na"": 0, ""Cl"": 0}"
M+HCO2+NaCl,-1,"{""H"": 0, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 1, ""Cl"": 1}"
M+Cl,-1,"{""H"": -1, ""C"": -1, ""O"": -2, ""N"": 0, ""Na"": 0, ""Cl"": 1}"
M-H,-1,"{""H"": 0, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 0, ""Cl"": 0}"
M-H+NaHCO2,-1,"{""H"": 1, ""C"": 1, ""O"": 2, ""N"": 0, ""Na"": 1, ""Cl"": 0}"
M-H+NH4HCO2,-1,"{""H"": 5, ""C"": 1, ""O"": 2, ""N"": 1, ""Na"": 0, ""Cl"": 0}"
M-H+NaCl,-1,"{""H"": 0, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 1, ""Cl"": 1}"
M+H,1,"{""H"": 0, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 0, ""Cl"": 0}"
M+Na,1,"{""H"": -1, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 1, ""Cl"": 0}"
M+Na+NaCl,1,"{""H"": -1, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 2, ""Cl"": 1}"
M+H+NaCl,1,"{""H"": 0, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 1, ""Cl"": 1}"
M+NH4,1,"{""H"": 0, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 0, ""Cl"": 0}"
M+NH4+NaCl,1,"{""H"": 0, ""C"": 0, ""O"": 0, ""N"": 0, ""Na"": 1, ""Cl"": 1}"
